question_id,explanation
2014_nrs_14_pm011,"体温調節の中枢は視床下部にある。視床下部は自律神経系の最高中枢であり、体温調節のほか摂食、飲水、性行動、情動、内分泌機能の調節を担う。体温のセットポイントを設定し、発汗や血管拡張による放熱、ふるえによる産熱などを制御する。橋は排尿中枢や呼吸調節に関与する。小脳は運動の協調や平衡機能を担う。中脳は眼球運動や姿勢反射に関与する。"
2014_nrs_14_pm012,"意識障害のある患者への救命救急処置で最も優先されるのは気道確保である。救急蘇生の基本はABC（Airway：気道確保、Breathing：呼吸、Circulation：循環）の順で行う。意識障害時は舌根沈下による気道閉塞が起こりやすく、まず気道の開通を確保することが生命維持の第一歩である。酸素吸入や輸液は気道確保の後に行う。保温も重要だが優先順位は低い。"
2014_nrs_14_pm013,"低体温が起こるのは甲状腺機能低下症である。甲状腺ホルモンは全身の代謝を促進する作用があり、その分泌低下により基礎代謝が低下して体温が下がる。その他の症状として、徐脈、便秘、体重増加、浮腫、無気力などがみられる。褐色細胞腫はカテコールアミン過剰分泌により高血圧・頻脈・発汗を来す。クッシング症候群はコルチゾール過剰による満月様顔貌や中心性肥満が特徴で、低体温は典型的でない。"
2014_nrs_14_pm014,"チアノーゼは血中還元ヘモグロビン量の増加（5g/dL以上）により出現する。還元ヘモグロビンが増えると皮膚や粘膜が青紫色を呈する。チアノーゼは酸素と結合していないヘモグロビンの絶対量で決まるため、貧血があるとチアノーゼは出現しにくい。血中酸素分圧の上昇ではなく低下がチアノーゼに関連する。二酸化炭素分圧の上昇は呼吸性アシドーシスの原因となるが、直接チアノーゼの定義には関係しない。"
2014_nrs_14_pm015,"貧血の定義は血色素量（ヘモグロビン量）が減っていることである。WHOの基準では、成人男性でHb 13g/dL未満、成人女性でHb 12g/dL未満を貧血と定義する。血圧低下は循環器系の問題であり貧血の定義ではない。脈拍の自覚（動悸）は貧血の症状の一つだが定義ではない。立ち上がり時の失神は起立性低血圧の症状であり、貧血そのものの定義ではない。"
2014_nrs_14_pm016,"骨髄抑制を示しているのは白血球減少である。骨髄抑制とは抗癌薬により骨髄の造血機能が障害されることで、白血球減少・赤血球減少（貧血）・血小板減少が起こる。白血球減少は易感染状態を招き、最も注意すべき副作用の一つである。嘔吐や下痢は消化器毒性、神経障害は末梢神経毒性であり、いずれも骨髄抑制とは異なる機序で生じる副作用である。"
2014_nrs_14_pm017,"貼付剤として用いられる薬剤はフェンタニルである。フェンタニル貼付剤（デュロテップパッチ等）は、皮膚から持続的に薬剤を吸収させる経皮吸収型製剤で、がん性疼痛の管理に用いられる。リン酸コデインは内服薬として使用される鎮咳・鎮痛薬である。モルヒネ塩酸塩は内服、注射、坐薬などの剤形がある。オキシコドン塩酸塩は主に内服薬として用いられる。"
2014_nrs_14_pm018,"患者とのコミュニケーションで適切なのは、患者の非言語的な表現を活用することである。非言語的コミュニケーション（表情、姿勢、声のトーン、しぐさ等）は言語以上に多くの情報を伝えており、患者の真の感情や状態を理解するのに重要である。専門用語は患者にとって理解困難であり平易な言葉を使うべきである。視線を合わせることは信頼関係構築に重要である。沈黙は患者の思考を促す効果があり安易に中断すべきでない。"
2014_nrs_14_pm019,"成人の安静時所見で異常なのは脈拍116/分である。成人の安静時脈拍の正常範囲は60〜100/分であり、116/分は頻脈に該当する。体温36.2℃は正常範囲（36.0〜37.0℃）内である。呼吸数12/分は正常範囲（12〜20/分）内である。血圧128/84mmHgは正常高値血圧の範囲であり、直ちに異常とは判断されない。頻脈の原因として発熱、脱水、心疾患、甲状腺機能亢進症などを考慮する。"
2014_nrs_14_pm020,"成人男性の間欠的導尿におけるカテーテル挿入の長さは18〜20cmが適切である。男性の尿道は約16〜20cmと長く、前立腺部を通過して膀胱に到達させる必要がある。6〜8cmは女性の尿道の長さに近い（女性の尿道は約3〜5cm、挿入長は5〜7cm）。12〜14cmでは膀胱に十分到達しない可能性がある。24〜26cmは長すぎて膀胱壁を損傷するリスクがある。"
2014_nrs_14_pm021,"最も高い照度を必要とするのは手術野である。手術野では微細な組織の識別や正確な手技が求められるため、10,000〜100,000ルクス程度の高い照度が必要である。ナースステーションは500ルクス程度、病室は100〜200ルクス程度、廊下はさらに低い照度で設計される。照度は作業の精密さに応じて設定され、手術は最も精密な作業を伴う場所である。"
2014_nrs_14_pm022,"成人の鼻孔から噴門までの長さは45〜55cmが適切である。経鼻胃管を挿入する際、鼻孔から咽頭を経て食道を通り胃の噴門に到達するまでの距離は約45〜55cmである。臨床では鼻尖から耳たぶ、さらに剣状突起までの距離を測定して挿入長を決定する。25〜35cmでは食道内にとどまり、5〜15cmでは咽頭付近にしか到達しない。65〜75cmでは胃を超えて十二指腸に達する可能性がある。"
2014_nrs_14_pm023,"輸液ポンプに設定する項目は流量である。輸液ポンプは指定された流量（mL/時）で正確に輸液を投与するための医療機器であり、流量の設定が必須項目である。機種によっては予定量も設定できる。開始時刻は看護師が投与開始のタイミングを判断するもので、ポンプへの設定項目ではない。薬剤の濃度や処方内容は医師の指示書で確認する事項であり、ポンプに直接設定する項目ではない。"
2014_nrs_14_pm024,"酸素ボンベと酸素流量計の構造において、酸素の流量を調節するのは流量調節バルブ（③の位置）である。酸素ボンベのシステムは、ボンベ本体、圧力調整器（減圧弁）、流量計、流量調節バルブで構成される。流量調節バルブを回して指示された酸素流量に合わせる。ボンベの元栓や圧力計は流量調節には直接使用しない。正確な流量設定は患者の安全に直結する重要な操作である。"
2014_nrs_14_pm025,"直流除細動器の使用目的は不整脈の治療である。心室細動や心室頻拍などの致死的不整脈に対し、直流電気ショックを与えて正常な心拍リズムに戻すことを目的とする。AED（自動体外式除細動器）も同じ原理で動作する。呼吸の促進は人工呼吸器や呼吸刺激薬の目的である。血圧の降下は降圧薬の目的である。意識レベルの評価はGCSやJCSなどのスケールを用いて行う。"
2014_nrs_14_pm026,"内臓痛が生じるのは管腔臓器の受動的な過伸展である。内臓痛は管腔臓器（胃、腸、尿管など）の壁が伸展・拡張されたり、平滑筋が強く収縮したりすることで生じる。部位が不明瞭で鈍い痛みが特徴である。臓器の切開自体では痛みを感じにくい（内臓は切開に対する痛覚受容器が少ない）。細胞内外のイオン濃度変化は直接的に内臓痛を引き起こす原因ではない。"
2014_nrs_14_pm027,"蛋白質はアミノ酸で構成される。20種類のアミノ酸がペプチド結合でつながり、固有の立体構造をとって蛋白質を形成する。唾液にはアミラーゼ（糖質分解酵素）が含まれるが、蛋白質分解酵素は含まれない。蛋白質は消化酵素によりアミノ酸に分解されてから吸収される。生体を構成する成分で最も多くの重量を占めるのは水分（約60%）であり、蛋白質は約16%である。"
2014_nrs_14_pm028,"膀胱の粘膜は移行上皮である。移行上皮は膀胱の伸縮に対応できる特殊な上皮で、尿の貯留量に応じて細胞層の数が変化する。腎盂や尿管も同様に移行上皮で覆われている。膀胱は腹膜で一部のみ覆われ、全体が漿膜で覆われているわけではない。膀胱は直腸の前方に位置する。膀胱壁の筋層（排尿筋）は3層構造（内縦・中輪・外縦）である。"
2014_nrs_14_pm029,"レニンは腎臓（傍糸球体細胞）で産生される。レニンは血圧低下や腎血流量減少を感知して分泌され、レニン-アンジオテンシン-アルドステロン系を活性化し血圧上昇に寄与する。エリスロポエチンは腎臓で産生されるホルモンであり膵臓ではない。アドレナリンは副腎皮質ではなく副腎髄質から分泌される。成長ホルモンは視床下部ではなく下垂体前葉から分泌される。"
2014_nrs_14_pm030,"糖尿病神経障害において、自律神経障害は無自覚性低血糖に関与する。自律神経障害により低血糖時の交感神経反応（発汗、動悸、振戦など）が減弱し、低血糖の自覚症状がないまま重篤な低血糖に陥る危険がある。糖尿病神経障害では運動神経も障害される。感覚障害は末梢側（足先）から中枢側へ進行する（手袋靴下型）。三大合併症の中では神経障害が最も早期に発症する。"
2014_nrs_14_pm031,"HIV感染症には無症候期がある。HIV感染後、急性期（2〜4週間）の後に数年から10年以上の無症候期（臨床的潜伏期）が続き、その後免疫不全が進行してAIDSを発症する。HIVは経皮感染ではなく、血液・体液を介して感染する（性行為、血液媒介、母子感染）。HIVはDNAウイルスではなくRNAウイルス（レトロウイルス）である。HIVはB細胞ではなくCD4陽性T細胞（ヘルパーT細胞）に感染する。"
2014_nrs_14_pm032,"気胸について、外傷は原因の1つである。外傷性気胸は胸部への鈍的・穿通性外傷により胸腔内に空気が漏出して生じる。自然気胸は若い女性ではなく、やせ型の若い男性に多い。ブラ（気腫性嚢胞）は肺底部ではなく肺尖部に好発する。気胸の治療では陽圧換気は胸腔内に空気をさらに送り込む可能性があり禁忌である。胸腔ドレナージが基本的な治療法である。"
2014_nrs_14_pm033,"心電図でT波の上昇（テント状T波）の原因となるのは高カリウム血症である。高カリウム血症では心筋の再分極過程が変化し、T波が尖鋭化・増高する。さらに進行するとQRS幅の延長、P波の消失、心室細動に至る危険がある。低カリウム血症ではT波の平坦化やU波の出現がみられる。高カルシウム血症ではQT間隔の短縮、低カルシウム血症ではQT間隔の延長が特徴的である。"
2014_nrs_14_pm034,"前立腺癌の治療薬は抗アンドロゲン薬である。前立腺癌はアンドロゲン（男性ホルモン）依存性の腫瘍であり、抗アンドロゲン薬によりアンドロゲンの作用を遮断することで腫瘍の増殖を抑制する（ホルモン療法）。インターフェロンは主にウイルス性肝炎や腎癌などに用いられる。α交感神経遮断薬は前立腺肥大症の排尿障害に用いられる。抗エストロゲン薬は乳癌の治療に用いられる。"
2014_nrs_14_pm035,"日本国憲法第25条で定められているのは国民の生存権である。第25条は「すべて国民は、健康で文化的な最低限度の生活を営む権利を有する」と規定し、国に社会福祉・社会保障・公衆衛生の向上増進の義務を課している。生活保護法など社会保障制度の根拠となる条文である。国民の平等性は第14条、教育を受ける権利は第26条、国及び公共団体の賠償責任は第17条に規定されている。"
2014_nrs_14_pm036,"社会福祉協議会の活動で正しいのはボランティア活動の推進である。社会福祉協議会は地域福祉の推進を目的とした民間組織で、ボランティアセンターの運営やボランティア活動の育成・支援を主要な活動として行っている。就労支援はハローワーク等が中心に担う。男女共同参画は内閣府や男女共同参画センターが推進する。がん対策はがん対策基本法に基づき国や自治体が推進する。"
2014_nrs_14_pm037,"疾病の発生要因と疫学要因の組合せで正しいのは、媒介動物と環境要因である。疫学の三要因は宿主要因・環境要因・病因（病原体）であり、媒介動物（蚊、ダニなど）は環境要因の生物学的環境に分類される。食事は環境要因（物理・化学的環境）に分類される。職業は環境要因（社会的環境）に分類される。細胞免疫は宿主要因に分類される。各選択肢の組合せが逆になっている点に注意が必要である。"
2014_nrs_14_pm038,"職場における三次予防は職場復帰後の適正配置である。予防の三段階において、一次予防は疾病の発生予防（健康教育等）、二次予防は早期発見・早期治療（健康診断等）、三次予防はリハビリテーション・社会復帰である。職場復帰後の適正配置は、疾病後の社会復帰支援であり三次予防に該当する。健康教育は一次予防、人間ドックやじん肺健康診断は二次予防に該当する。"
2014_nrs_14_pm039,"看護師の業務で正しいのは褥婦への療養上の世話である。保健師助産師看護師法において、看護師の業務は「傷病者もしくは褥婦に対する療養上の世話または診療の補助」と定義されている。グリセリン浣腸液の処方は医師の業務である。酸素吸入の流量の決定も医師の指示が必要である。血液検査の実施の決定は医師が行い、看護師は医師の指示のもとで実施する。"
2014_nrs_14_pm040,"サーカディアンリズム（概日リズム）を整えるためには、毎朝同じ時刻に起床するよう促すことが適切である。朝の光を浴びることで体内時計がリセットされ、約24時間の生体リズムが正常に維持される。日中はカーテンを開けて十分な光を取り入れるべきである。昼寝は30分以内が望ましく、2〜3時間は長すぎる。就寝前のコーヒーはカフェインにより覚醒作用があり入眠を妨げる。"
2014_nrs_14_pm041,"仰臥位の良肢位で正しいのは足関節底屈0度（直角位）である。良肢位とは関節が拘縮した場合でも日常生活動作に最も支障が少ない肢位をいう。足関節は0度（直角位）を保つことで尖足予防となる。肩関節の良肢位は外転10〜30度程度であり90度は過度である。肘関節は屈曲90度程度が良肢位であり0度（完全伸展）ではない。膝関節は軽度屈曲（10〜15度）が良肢位であり90度は過度な屈曲である。"
2014_nrs_14_pm042,"抗癌薬の点滴静脈内注射中に刺入部の腫脹と軽い痛みがある場合、直ちに注入を中止する。これらの症状は血管外漏出の徴候であり、抗癌薬は組織壊死を起こす可能性のある薬剤が多いため、速やかに注入を停止して漏出範囲の拡大を防ぐことが最優先である。刺入部を温めたり注入速度を遅くしたりする対応は不適切で、漏出の被害を拡大させる。血液の逆流確認は漏出が疑われた際の確認方法だが、中止が先決である。"
2014_nrs_14_pm043,"死後の処置（エンゼルケア）は死亡後2時間以内に行うのが最も適切である。死後硬直は死後2〜3時間から始まるため、硬直が始まる前に処置を行う必要がある。チューブ類の除去は家族に配慮して別室で行うか、家族の退室後に行うのが一般的である。枕は高くして開口を防ぐ（下顎が下がらないようにする）。口腔内の分泌物や汚染物は吸引や清拭で除去する。"
2014_nrs_14_pm044,"グリセリン浣腸の効果は腸管の蠕動を促進することである。グリセリン浣腸液は直腸粘膜を刺激して蠕動運動を亢進させるとともに、高浸透圧により腸管内に水分を引き込んで便を軟化させ、排便を促す。腸管内の炎症を和らげる抗炎症作用はない。腸壁の水分吸収を促進するのではなく、逆に浸透圧の差により水分を腸管内に引き込む。ガスの吸収促進効果もない。"
2014_nrs_14_pm045,"皮膚表面は弱酸性（pH4.5〜6.5）である。皮脂腺から分泌される皮脂と汗が混合して皮脂膜を形成し、この弱酸性環境が細菌の繁殖を抑制する役割を果たしている。粘膜は角質層がなく湿潤環境にあるため、細菌が繁殖しやすい。皮脂の分泌量は思春期にピークを迎え、老年期には減少する（乾燥肌の原因）。アポクリン汗腺は全身ではなく腋窩や外陰部などの限られた部位に分布する。"
2014_nrs_14_pm046,"与薬方法で正しいのは、点眼薬は下眼瞼結膜の中央に滴下することである。患者に上を向いてもらい、下眼瞼を軽く引き下げて結膜嚢の中央に1滴を点眼する。容器の先端が眼やまつ毛に触れないように注意する。筋肉内注射は大殿筋ではなく中殿筋に行う（大殿筋は坐骨神経損傷のリスクがある）。バッカル錠は頬と歯茎の間に挟んで口腔粘膜から吸収させるもので噛んではいけない。吸入薬の残留液は飲み込まず含嗽して吐き出す。"
2014_nrs_14_pm047,"全血の検体を室温で放置すると血糖値が低下する。血液中の赤血球や白血球が解糖系によりグルコースを消費するため、室温放置により血糖値は経時的に低下する。そのため血糖検査では解糖阻止剤（フッ化ナトリウム）入りの採血管を使用するか、速やかに血漿分離する必要がある。乳酸、遊離脂肪酸、アンモニアは逆に室温放置で上昇する。正確な検査結果を得るために検体の取り扱いは重要である。"
2014_nrs_14_pm048,"看護師の人員配置基準について定めた法律は医療法である。医療法では、病院・診療所の人員配置基準として、入院患者に対する看護師の配置数を規定している（一般病床では患者3人に対して看護師1人など）。労働基準法は労働条件の最低基準を定める法律である。保健師助産師看護師法は看護師の資格・業務を定める。看護師等の人材確保の促進に関する法律は看護師の確保対策に関する法律である。"
2014_nrs_14_pm049,"放射線宿酔では食欲不振が出現する。放射線宿酔は放射線治療開始後の早期（数時間〜数日以内）に出現する全身反応で、悪心・嘔吐・食欲不振・全身倦怠感・頭痛などの症状がみられる。晩期合併症ではなく急性期の反応である。皮膚の発赤は放射線皮膚炎の症状であり放射線宿酔とは異なる。症状は通常、照射の中断や治療の進行とともに1〜2週間程度で軽減する。"
2014_nrs_14_pm050,"pH 7.32（低下）、PaCO2 72Torr（高値）、PaO2 50Torr（低値）、HCO3- 26.0mEq/L（ほぼ正常）から、肺胞低換気と判断される。PaCO2の著明な上昇はCO2の排出不全を示し、換気不足を意味する。pHの低下とPaCO2の上昇から呼吸性アシドーシスであり、HCO3-がほぼ正常であることから代償は不十分である。過換気症候群ではPaCO2が低下する。代謝性アシドーシスではHCO3-が低下する。"
2014_nrs_14_pm051,"十二指腸潰瘍の既往がある患者の突然の上腹部痛では、消化管穿孔を疑いブルンベルグ徴候を観察する。ブルンベルグ徴候（反跳痛）は腹膜刺激症状の一つで、腹壁を圧迫してから急に手を離したときに痛みが増強する所見である。穿孔による腹膜炎を示唆する。ロンベルグ徴候は平衡障害の評価、クールボアジェ徴候は総胆管閉塞による無痛性胆嚢腫大、トレンデレンブルグ徴候は中殿筋麻痺の評価に用いる。"
2014_nrs_14_pm052,"鎖骨下動脈の穿刺後4時間で胸痛と軽い呼吸困難が出現したことから、最も考えられるのは血胸である。鎖骨下動脈の誤穿刺により出血が持続し、血液が胸腔内に貯留して血胸を生じた可能性が高い。処置直後のX線では異常がなくても、出血の蓄積により遅れて症状が出現する。肺炎は数時間での発症は考えにくい。肺転移や胸膜炎は処置とは無関係であり、急性経過として矛盾する。"
2014_nrs_14_pm053,"高尿酸血症で尿酸排泄促進薬を内服中の患者への生活指導として最も適切なのは過度な運動の回避である。ラグビーなどの激しい運動は細胞の代謝を亢進させプリン体の分解を促進し、尿酸値を上昇させる。また、脱水により尿酸の排泄が低下する。BMI 22.6で体重減量の必要性は低い。禁煙は一般的な健康指導としては有用だが高尿酸血症への直接的効果は限定的。蛋白質摂取の完全禁止は栄養障害を招くため不適切である。"
2014_nrs_14_pm054,"レイノー現象のある患者への指導で正しいのは、洗顔のときに温水を使用することである。レイノー現象は寒冷刺激や精神的ストレスにより手指の血管が攣縮し、蒼白→チアノーゼ→紅潮と変色する症状である。寒冷刺激を避けることが重要であり、冷水ではなく温水を使用する。含嗽の頻度増加や紫外線防止はレイノー現象とは関連が薄い。筋力トレーニングよりも保温と血行促進が優先される。"
2014_nrs_14_pm055,"脳血管造影を行う患者の看護で最も適切なのは、穿刺部の末梢側の動脈の拍動を確認することである。大腿動脈からカテーテルを挿入するため、検査後に穿刺部位より末梢側の足背動脈等の拍動を確認し、血栓や動脈閉塞がないかを評価する。側頭部の剃毛は脳血管造影では不要（開頭術の準備）。検査前は数時間の絶食が必要である。検査中は意識レベルの確認のため患者に話しかけて神経学的所見を観察する。"
2014_nrs_14_pm056,"経尿道的前立腺切除術（TUR-P）後1日で強い尿意があるが膀胱に尿が貯留していない場合、膀胱刺激症状と考えられる。TUR-P後はカテーテル留置による膀胱三角部への刺激や、手術に伴う粘膜損傷により、膀胱刺激症状（尿意切迫感、頻尿感）が出現しやすい。尿は十分に流出しており（350mL/3時間）、尿道狭窄は否定的。感染所見（発熱、混濁尿）はなく尿路感染症は考えにくい。膀胱タンポナーデでは血塊による尿閉がみられる。"
2014_nrs_14_pm057,"平成24年（2012年）の養護者による高齢者虐待の種類で最も多いのは身体的虐待である。厚生労働省の調査において、養護者による高齢者虐待は身体的虐待が約60〜70%と最も多く、次いで心理的虐待、介護等放棄（ネグレクト）、経済的虐待の順となっている。性的虐待は最も少ない。虐待者は息子が最も多く、次いで夫、娘の順である。早期発見と通報が重要であり、高齢者虐待防止法により通報義務が定められている。"
2014_nrs_14_pm058,"高齢者総合機能評価（CGA）について正しいのは、多職種チームで結果を共有することである。CGAは高齢者の身体機能、精神・認知機能、社会・環境的側面を包括的に評価するもので、医師、看護師、リハビリ職、社会福祉士など多職種で評価結果を共有してケア計画に反映する。介護者の介護負担もCGAの評価項目に含まれる。目的は生活機能の維持・向上であり、疾患の改善のみを目指すものではない。対象は比較的自立度の高い高齢者も含まれる。"
2014_nrs_14_pm059,"Aさんへの対応で最も適切なのは「好きな人ができることは素敵なことですね」である。高齢者のセクシュアリティや恋愛感情を尊重し、肯定的に受け止めることが重要である。Aさんは息子に否定されて悲しんでおり、まずAさんの感情を受容し共感を示す対応が求められる。息子の気持ちへの同意はAさんの感情を否定することになる。他の職員への相談はAさんの意向を確認してから行うべきである。亡くなった配偶者のことを持ち出すのは不適切である。"
2014_nrs_14_pm060,"軽度の嚥下障害がある患者の誤嚥性肺炎予防で正しいのは、口腔内を吸引しながらブラッシングすることである。口腔内の細菌を減少させる口腔ケアは誤嚥性肺炎の予防に最も効果的である。吸引しながらのブラッシングにより、清掃中の汚染物の誤嚥を防ぐ。流動食はむしろ誤嚥しやすい。嚥下時は下顎を挙上するのではなく軽く前屈（あご引き姿勢）にして行う。食後は30分以上の座位保持が推奨され、10分では短すぎる。"
2014_nrs_14_pm061,"パーキンソン病の症状として正しいのは腕を振らずに歩くことである。パーキンソン病では小刻み歩行、前傾姿勢、腕振りの減少（すくみ足歩行）が特徴的である。筋固縮により上肢の振りが減少する。満月様顔貌はクッシング症候群の症状である。パーキンソン病では前傾姿勢で歩行し、後方への反り返りはみられない（むしろ後方突進現象がある）。頭を左右に振る症状は典型的ではなく、安静時振戦は手指に多い。"
2014_nrs_14_pm062,"V-Pシャント挿入中の5歳児の定期受診で優先度が高い確認項目は便秘の有無である。V-Pシャントは脳室内の髄液を腹腔内に排出するシステムであるが、便秘により腹腔内圧が上昇するとシャントの機能不全を起こし、水頭症の増悪につながる可能性がある。頭囲は乳児期には重要な指標だが、5歳ではすでに頭蓋縫合が閉鎖しているため優先度はやや低い。聴力や微細運動はシャント機能と直接的な関連は薄い。"
2014_nrs_14_pm063,"二分脊椎の子どもに特徴的な症状は排泄障害である。二分脊椎は脊椎の癒合不全により脊髄神経が障害される先天性疾患で、特に腰仙部の障害が多い。膀胱直腸障害（神経因性膀胱、排便障害）が高頻度にみられる。下半身の運動・感覚障害も特徴的だが、上半身の運動障害は通常みられない。体重増加不良や言語発達の遅延は二分脊椎に特徴的な症状ではない。"
2014_nrs_14_pm064,"セクシュアリティの意義で正しい組合せは「性役割としての性 — 社会的規範」である。ジェンダー（性役割としての性）は社会的・文化的に形成された性別の役割や規範を指す。生殖性の性はジェンダーではなく種の保存に関連する。性別としての性は常染色体ではなく性染色体（XX、XY）によって決定される。連帯性としての性は人間関係における絆や親密さに関するものであり、種の保存とは異なる概念である。"
2014_nrs_14_pm065,"正常な月経周期に伴う変化で正しいのは、排卵期に頸管粘液が増量することである。排卵期にはエストロゲンの作用により頸管粘液の分泌が増加し、粘稠度が低下して精子の通過を促進する。月経の直後は浮腫ではなく、むしろ月経前に黄体ホルモンの影響で浮腫が生じやすい。黄体形成ホルモン（LH）は下垂体前葉から分泌される。基礎体温は排卵後にプロゲステロンの作用で高温相に移行し、月経終了後は低温相である。"
2014_nrs_14_pm066,"DV（配偶者からの暴力）被害者への対応として適切なのは配偶者暴力相談支援センターに通報することである。配偶者暴力防止法に基づき、医療関係者はDV被害者を発見した場合、配偶者暴力相談支援センターまたは警察に通報する努力義務がある。姉に見せるのはAさんの意向に反する。暴力の詳細を聞くことは二次被害（再トラウマ化）を招く可能性がある。被害者に原因があるかのような質問は絶対に避けるべきである。"
2014_nrs_14_pm067,"プロセスレコードは看護師の対人関係技術の向上に活用するものである。プロセスレコードは看護師と患者の対話場面を再構成して記録し、自己の思考や感情、コミュニケーションパターンを振り返ることで対人関係能力を高める学習ツールである。看護過程の一段階ではなく独立した学習方法である。患者と家族間ではなく看護師と患者間の相互作用を記述する。精神症状のアセスメント方法ではなく看護師の自己理解のためのツールである。"
2014_nrs_14_pm068,"集団精神療法の効果が最も期待できるのは薬物依存症である。薬物依存症では、同じ問題を抱える当事者同士が体験を共有し、互いに支え合うグループ療法が有効とされている。自助グループ（NAなど）も同じ原理に基づく。過眠症には薬物療法が主体となる。躁状態では集団活動で興奮が助長される可能性があり適さない。小児自閉症は発達障害であり、集団精神療法よりも個別の発達支援が優先される。"
2014_nrs_14_pm069,"内服薬の飲み間違いがある高齢者のセルフケア維持のための支援として最も適切なのは、内服薬を1回分ごとにまとめることである。一包化（1回分ずつまとめる）により服薬の手順が簡略化され、飲み間違いを防ぎながら自己管理能力を維持できる。薬局から看護師が受け取るのはAさんのセルフケア能力を奪うことになる。保管場所の分散は逆に混乱を招く。診療科ごとの個別指導では情報が断片化して管理が複雑になる。"
2014_nrs_14_pm070,"COPDで在宅酸素療法中の患者の入浴方法として最も適切なのは、身体を洗うときにシャワーチェアを使うことである。シャワーチェアの使用により座位で安定して体を洗え、立位での息切れや転倒を防止できる。在宅酸素療法中でも自立した入浴は可能であり全介助は不要である。浴槽入浴は水圧による呼吸負荷に注意しつつ禁止ではない。入浴中も携帯用酸素ボンベの使用は可能であり、カニューレを延長して浴室に持ち込める。"
