question_id,department,exam_year,exam_number,category,subcategory,subtopic,difficulty,question_text,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,has_image,image_url,is_multi_select,source,created_at
2014_nrs_14_pm020,nursing,2014,20,14.日常生活援助技術,B.排泄,導尿,3,成人男性の間欠的導尿においてカテーテルを挿入する長さで適切なのはどれか。,6～8cm,12～14cm,18～20cm,24～26cm,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm021,nursing,2014,21,15.患者の安全・安楽を守る看護技術,A.療養環境,病室環境,3,最も高い照度を必要とするのはどれか。,病　室,手術野,外来の廊下,ナースステーション,,B,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm022,nursing,2014,22,16.診療に伴う看護技術,A.栄養法,経管・経腸栄養法,3,成人の鼻孔から噴門までの長さで適切なのはどれか。,5～15cm,25～35cm,45～55cm,65～75cm,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm023,nursing,2014,23,16.診療に伴う看護技術,C.輸液・輸血管理,点滴静脈注射,3,輸液ポンプに設定する項目はどれか。,流　量,開始時刻,薬剤の濃度,薬剤の処方内容,,A,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm024,nursing,2014,24,16.診療に伴う看護技術,E.呼吸管理,酸素流量計,3,"医療用酸素ボンベと酸素流量計とを図に示す。,,
酸素の流量を調節するのはどれか。",①,②,③,④,,C,,true,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm025,nursing,2014,25,16.診療に伴う看護技術,F.救命救急処置,直流除細動器,3,直流除細動器の使用目的はどれか。,呼吸の促進,血圧の降下,不整脈の治療,意識レベルの評価,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm026,nursing,2014,26,5.感覚器系,G.内臓感覚,内蔵感覚の受容器と機能,3,内臓痛が生じるのはどれか。,臓器の切開,管腔臓器の受動的な過伸展,細胞内カリウムイオン濃度の上昇,細胞外ナトリウムイオン濃度の上昇,,B,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm027,nursing,2014,27,11.消化器系,B.消化と吸収,三大栄養素の消化と吸収,3,蛋白質で正しいのはどれか。,アミノ酸で構成される。,唾液により分解される。,摂取するとそのままの形で体内に吸収される。,生体を構成する成分で最も多くの重量を占める。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm028,nursing,2014,28,13.泌尿器系,C.排尿,尿管と膀胱の構造と機能,3,膀胱で正しいのはどれか。,漿膜で覆われている。,直腸の後方に存在する。,粘膜は移行上皮である。,筋層は2層構造である。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm029,nursing,2014,29,15.内分泌系,C.内分泌器官の構造とホルモンの機能,腎臓,3,ホルモンとその産生部位の組合せで正しいのはどれか。,エリスロポエチン -- 膵　臓,アドレナリン -- 副腎皮質,成長ホルモン -- 視床下部,レニン -- 腎　臓,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm030,nursing,2014,30,8.内部環境調節機能,B.代謝異常の疾患の病態と診断・治療,糖尿病,3,糖尿病神経障害で正しいのはどれか。,運動神経は温存される。,感覚障害は中枢側から起こる。,三大合併症の中では晩期に発症する。,自律神経障害は無自覚性低血糖に関与する。,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm031,nursing,2014,31,10.全身の感染性疾患,A.感染性疾患の病態と診断・治療,ウイルスによる感染症（インフルエンザ、流行性耳下腺炎＜ムンプス＞、麻疹、風疹、エボラ出血熱、コロナウイルス感染症、ヒト免疫不全ウイルス＜HIV＞感染症）,3,ヒト免疫不全ウイルス＜HIV＞感染症で正しいのはどれか。,経皮感染する。,無症候期がある。,DNA ウイルスによる。,血液中のB細胞に感染する。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm032,nursing,2014,32,5.呼吸機能,A.呼吸器系の疾患の病態と診断・治療,気胸,3,気胸について正しいのはどれか。,外傷は原因の1つである。,自然気胸は若い女性に多い。,原因となるブラは肺底部に多い。,治療として人工呼吸器による陽圧換気が行われる。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm033,nursing,2014,33,8.内部環境調節機能,C.体液調節の疾患の病態と診断・治療,水・電解質の異常（脱水、浮腫、低ナトリウム血症、高カリウム血症）,3,心電図でT波の上昇の原因となるのはどれか。,高カリウム血症,低カリウム血症,高カルシウム血症,低カルシウム血症,,A,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm034,nursing,2014,34,16.生殖機能,A.生殖器系の疾患の病態と診断・治療,腫瘍（乳癌、子宮体癌、子宮頸癌、卵巣癌、前立腺癌）,3,前立腺癌の治療薬はどれか。,インターフェロン,α交感神経遮断薬,抗アンドロゲン薬,抗エストロゲン薬,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm035,nursing,2014,35,3.社会保障制度の基本,A.社会保障の理念,日本国憲法第25条,3,日本国憲法第25条で定められているのはどれか。,国民の平等性,国民の生存権,国民の教育を受ける権利,国及び公共団体の賠償責任,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm036,nursing,2014,36,5.社会福祉の基本,C.社会福祉における民間活動,ボランティア活動,3,社会福祉協議会の活動で正しいのはどれか。,ボランティア活動を推進する。,就労の支援活動を推進する。,男女共同参画を推進する。,がん対策を推進する。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm037,nursing,2014,37,2.疾病の成立と疾病からの回復,A.疾病の要因,内因（宿主要因）、外因（環境要因）,3,疾病の発生要因と疫学要因の組合せで正しいのはどれか。,食　事 -- 宿主要因,職　業 -- 宿主要因,細胞免疫 -- 環境要因,媒介動物 -- 環境要因,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm038,nursing,2014,38,6.健康と公衆衛生,A.公衆衛生の理念,一次予防、二次予防、三次予防,3,職場における疾病予防の対策のうち三次予防はどれか。,健康教育の実施,人間ドックの受診勧奨,じん肺健康診断の実施,職場復帰後の適正配置,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm039,nursing,2014,39,11.人々の健康を支える職種やサービス提供体制に関する法や施策,A.看護職に関する法,保健師助産師看護師法,3,看護師の業務で正しいのはどれか。,グリセリン浣腸液の処方,褥婦への療養上の世話,酸素吸入の流量の決定,血液検査の実施の決定,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm040,nursing,2014,40,4.日常生活援助技術,E.休息と睡眠,休息と睡眠を促す援助,3,サーカディアンリズムを整えるための援助で適切なのはどれか。,毎朝同じ時刻に起床するよう促す。,日中はカーテンを閉めておくよう促す。,昼寝の時間を2～3時間程度とるよう促す。,就寝前に温かいコーヒーを摂取するよう促す。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm041,nursing,2014,41,3.看護における基本技術,H.安楽の確保,安楽な姿勢・体位の保持,3,仰臥位の患者の良肢位について正しいのはどれか。,肩関節外転90度,肘関節屈曲0度,膝関節屈曲90度,足関節底屈0度,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm042,nursing,2014,42,5.診療に伴う看護技術,C.与薬,与薬の副作用（有害事象）の観察,3,"抗癌薬の点滴静脈内注射中の患者が刺入部の腫脹と軽い痛みを訴え、看護師が確認した。,,
直ちに行うのはどれか。",刺入部を温める。,注入を中止する。,注入速度を遅くする。,点滴チューブ内の血液の逆流を確認する。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm043,nursing,2014,43,3.看護における基本技術,I.終末期のケア,死亡後のケア,3,死後の処置について最も適切なのはどれか。,体内に挿入したチューブ類の除去は家族同席で行う。,枕の高さを低くし開口を防ぐ。,死亡後2時間以内に行う。,口腔内は吸引しない。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm044,nursing,2014,44,4.日常生活援助技術,C.排泄,自然な排泄が困難な人への援助,3,グリセリン浣腸の効果で正しいのはどれか。,腸管の蠕動を促進する。,腸管内の炎症を和らげる。,腸壁の水分吸収を促進する。,腸管内のガスの吸収を促進する。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm045,nursing,2014,45,9.生体の防御機構,A.非特異性生体防御機構,皮膚の構造と防御機構,3,皮膚の構造と機能について正しいのはどれか。,皮膚表面は弱酸性である。,粘膜は細菌が繁殖しにくい。,皮脂の分泌量は老年期に増加する。,アポクリン汗腺は全身に分布している。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm046,nursing,2014,46,5.診療に伴う看護技術,C.与薬,与薬方法と効果の観察,3,与薬方法で正しいのはどれか。,筋肉内注射は大殿筋に行う。,点眼薬は下眼瞼結膜の中央に滴下する。,バッカル錠は、かんでから飲み込むよう促す。,口腔内に溜まった吸入薬は飲み込むよう促す。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm047,nursing,2014,47,5.診療に伴う看護技術,F. 生体機能のモニタリング,検体検査（血液、尿、便、喀痰、胸水、腹水、骨髄液）,3,全血の検体を25 ℃の室内に放置すると低下するのはどれか。,血　糖,乳　酸,遊離脂肪酸,アンモニア,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm048,nursing,2014,48,11.人々の健康を支える職種やサービス提供体制に関する法や施策,C.サービスの提供体制,医療法,3,看護師の人員配置基準について定めた法律はどれか。,医療法,労働基準法,保健師助産師看護師法,看護師等の人材確保の促進に関する法律,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm049,nursing,2014,49,8.がん患者と家族への看護,B.がん患者の集学的治療と看護,放射線療法と看護,3,放射線治療による放射線宿酔について正しいのはどれか。,晩期合併症である。,食欲不振が出現する。,皮膚の発赤が特徴的である。,症状は1か月程度持続する。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm050,nursing,2014,50,10.呼吸機能障害のある患者の看護,B.検査・処置を受ける患者への看護,動脈血ガス分析、動脈血酸素飽和度,3,"呼吸困難を訴えて来院した患者の動脈血液ガス分析は、pH7.32、動脈血炭酸ガス分圧＜PaCO2＞72Torr、動脈血酸素分圧＜PaO2＞50 Torr、HCO3- 26.0mEq/L であった。,,
このときのアセスメントで適切なのはどれか。",肺胞低換気,過換気症候群,代謝性アシドーシス,呼吸性アルカローシス,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm051,nursing,2014,51,12.消化・吸収機能障害のある患者への看護,D.病期や機能障害に応じた看護,胃潰瘍、十二指腸潰瘍、逆流性食道炎,3,"Aさん（50歳、男性）は、上腹部痛が突然出現したため、冷や汗をかき腹部を押さえながら家族と来院した。Aさんは十二指腸潰瘍の既往がある。,,
このときに観察する徴候として最も適切なのはどれか。",Romberg＜ロンベルグ＞徴候,Blumberg＜ブルンベルグ＞徴候,Courvoisier＜クールボアジェ＞徴候,Trendelenburg＜トレンデレンブルグ＞徴候,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm052,nursing,2014,52,5.周術期にある患者と家族の看護,D.術後合併症と予防,術後出血,3,"Aさん（48歳、女性）は、卵巣癌の腹膜播種性転移で亜イレウス状態になった。,,
栄養療法のために、右鎖骨下静脈から中心静脈カテーテルの挿入が行われたが、鎖骨下動脈を穿刺したため中止された。処置直後の胸部エックス線撮影で異常はなかったが、4時間後、Aさんは胸痛と軽い呼吸困難を訴えた。,,
最も考えられるのはどれか。",血　胸,肺　炎,肺転移,胸膜炎,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm053,nursing,2014,53,13.栄養代謝機能障害のある患者の看護,D.病期や機能障害に応じた看護,脂質異常症、肥満、高尿酸血症,3,"Aさん（42歳、男性、会社員）は、1人で暮らしている。毎日、たばこを20本吸い、缶ビールを3本飲んでいた。Aさんは週末にラグビーをした後、帰りに焼肉を食べるのを楽しみにしている。高尿酸血症で治療を受けることになり、尿酸排泄促進薬が処方された。缶ビールを1本に減らしたが、尿酸値が高い状態が続いている。身長172cm、体重67kg。その他の血液検査データに異常はない。,,
Aさんへの生活指導で最も適切なのはどれか。",禁　煙,体重の減量,過度な運動の回避,蛋白質摂取の禁止,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm054,nursing,2014,54,16.身体防御機能の障害のある患者の看護,D.病期や機能障害に応じた看護,自己免疫疾患（膠原病を含む）,3,Raynaud＜レイノー＞現象のある患者への指導で正しいのはどれか。,頻繁に含嗽をする。,日傘で紫外線を防止する。,洗顔のときは温水を使用する。,筋力を維持するトレーニングを行う。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm055,nursing,2014,55,17.脳・神経機能障害のある患者の看護,B.検査・処置を受ける患者への看護,脳血管造影,3,脳血管造影を行う患者の看護について最も適切なのはどれか。,前日に側頭部の剃毛を行う。,検査30分前まで食事摂取が可能である。,検査中は患者に話しかけない。,穿刺部の末梢側の動脈の拍動を確認する。,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm056,nursing,2014,56,20.排尿機能障害のある患者の看護,D.病期や機能障害に応じた看護,前立腺肥大、前立腺炎,3,"Aさん（59歳、男性）は、経尿道的前立腺切除術後1日で、強い尿意を訴えているが腹部超音波検査で膀胱に尿は貯留していない。Aさんは、体温36.9℃、脈拍88/分、血圧128/86mmHg であった。尿は淡血性で混濁はなく蓄尿バッグ内に3時間で350mL貯留している。,,
この状態で考えられるのはどれか。",尿道狭窄,尿路感染症,膀胱刺激症状,膀胱タンポナーデ,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm057,nursing,2014,57,4.老年看護の基本,B.老年看護の倫理,高齢者虐待,3,日本の平成24 年（2012 年）の養護者による高齢者虐待の種類で最も多いのはどれか。,身体的虐待,心理的虐待,介護等放棄,性的虐待,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm058,nursing,2014,58,2.高齢者の生活,A.高齢者の機能と評価,高齢者総合機能評価＜CGA＞,3,高齢者の総合機能評価＜CGA＞について正しいのはどれか。,介護者の介護負担は含まない。,多職種チームで結果を共有する。,疾患の改善を目指すことが目的である。,主な対象者は重度の要介護高齢者である。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm059,nursing,2014,59,5.高齢者の生活を支える看護,G.高齢者における性＜セクシュアリティ＞,高齢者にとっての性＜セクシュアリティ＞の理解と対応,3,"Aさん（70歳、女性）は、夫のBさんと死別し、軽費老人ホームに入居している。,,
Aさんは「今、再婚をしたいと思う好きな人ができたのに、70歳で再婚なんて恥ずかしいよと息子に叱られました。とても悲しいです」と話した。,,
Aさんへの対応で最も適切なのはどれか。",「息子さんの気持ちは理解できます」,「他の職員の考えを聞いてみましょう」,「好きな人ができることは素敵なことですね」,「亡くなったBさんのことは忘れてしまったのですか」,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm060,nursing,2014,60,5.高齢者の生活を支える看護,C.高齢者の食事・食生活の特徴と援助,摂食・嗅下障害,3,軽度の嚥下障害がある患者への誤嚥性肺炎の予防法で正しいのはどれか。,流動食にする。,軽く下顎を挙上して飲み込んでもらう。,食後は10分程度の座位を保持する。,口腔内を吸引しながらブラッシングする。,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm061,nursing,2014,61,12.神経機能,A.中枢神経系の疾患の病態と診断・治療,変性疾患（Parkinson＜パーキンソン＞病、筋萎縮性側索硬化症＜ALS＞）,3,Parkinson＜パーキンソン＞病の症状について正しいのはどれか。,満月様顔貌になる。,腕を振らずに歩く。,後ろに反り返って歩く。,頭を左右に大きく振る。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm062,nursing,2014,62,8.慢性的な疾患・障害がある子どもと家族への看護,A.先天性疾患や慢性的な経過をとる疾患をもつ子どもと家族への看護,疾患による子どもと家族の生活の変化,3,"A君（5歳、男児）は、先天性水頭症で脳室－腹腔＜V-P＞シャントが挿入されている。,,
定期受診の際、看護師が確認する項目で優先度が高いのはどれか。",頭　囲,聴　力,微細運動,便秘の有無,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm063,nursing,2014,63,8.慢性的な疾患・障害がある子どもと家族への看護,A.先天性疾患や慢性的な経過をとる疾患をもつ子どもと家族への看護,疾患による子どもと家族の生活の変化,3,二分脊椎の子どもに特徴的な症状はどれか。,排泄障害,体重増加不良,言語発達の遅延,上半身の運動障害,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm064,nursing,2014,64,2.母性看護の基盤となる概念,A.リプロダクティブ・ヘルスに関する概念,セックス、ジェンダー,3,セクシュアリティの意義と関連する事項の組合せで正しいのはどれか。,生殖性の性 -- ジェンダー,性別としての性 -- 常染色体,連帯性としての性 -- 種の保存,性役割としての性 -- 社会的規範,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm065,nursing,2014,65,3.女性のライフサイクル各期における看護,A.思春期・成熟期女性の健康維持への看護,性周期（初経、月経）,3,正常な月経周期に伴う変化で正しいのはどれか。,排卵期には頸管粘液が増量する。,月経の直後は浮腫が生じやすい。,黄体から黄体形成ホルモン＜LH＞が分泌される。,基礎体温は月経終了後から徐々に上昇して高温相になる。,,A,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm066,nursing,2014,66,1.母性看護の対象を取り巻く環境や社会の変遷,D.女性の健康支援に関する法や施策,配偶者からの暴力の防止及び被害者の保護等に関する法律＜DV防止法＞,3,"Aさん（38歳、女性、パート勤務）は、腹痛のため、姉に付き添われて救急外来を受診した。診察時、身体には殴られてできたとみられる複数の打撲痕が確認された。腹痛の原因は夫から蹴られたことであった。A さんは「家に帰るのが怖い。姉には夫の暴力について話したくない」と泣いている。,,
外来での看護師の対応で適切なのはどれか。",打撲痕を姉に見てもらう。,配偶者暴力相談支援センターに通報する。,暴力を受けたときの状況を具体的に話すことを求める。,Aさんが日頃から夫を怒らせるようなことがなかったか聞く。,,B,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm067,nursing,2014,67,3.精神看護の対象の理解と支援のための概念,A.援助関係の構築,プロセスレコードの活用,3,プロセスレコードについて正しいのはどれか。,看護過程の1つの段階である。,患者と家族間の言動を記述する。,看護師の対人関係技術の向上に活用する。,患者の精神症状をアセスメントする方法である。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm068,nursing,2014,68,4.精神疾患・障害がある者とその家族への看護,B.心理・社会的療法,集団精神療法、集団力動,3,集団精神療法の効果が最も期待できるのはどれか。,過眠症,躁状態,薬物依存症,小児自閉症,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm069,nursing,2014,69,6.症状・疾患・治療に応じた地域・在宅看護,C.主な治療等に応じた在宅看護,薬物療法,3,"Aさん（80歳、女性）は、1人で暮らしている。内科と整形外科とを受診しているが、2週前から内服薬の飲み間違いがあり、主治医から訪問看護師に服薬管理の依頼があった。,,
Aさんがセルフケアを維持して内服するための訪問看護師の服薬管理の支援で最も適切なのはどれか。",内服薬は薬局から訪問看護師が受け取る。,自宅での内服薬の保管場所を分散する。,内服指導を診療科ごとに依頼する。,内服薬を1回分ごとにまとめる。,,D,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm070,nursing,2014,70,6.症状・疾患・治療に応じた地域・在宅看護,C.主な治療等に応じた在宅看護,酸素療法,3,"Aさん（70歳、男性）は、1人で暮らしている。慢性閉塞性肺疾患のため1週前から在宅酸素療法（0.5L/分、24時間持続）が開始された。Aさんは階段の昇降時に息切れがみられる。,,
自宅での入浴の方法に関する訪問看護師の説明で最も適切なのはどれか。",脱衣は看護師が全介助する。,浴槽に入ることは禁止する。,身体を洗うときはシャワーチェアを使う。,入浴中は携帯用酸素ボンベを利用できない。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm071,nursing,2014,71,6.症状・疾患・治療に応じた地域・在宅看護,A.主な症状に応じた在宅看護,疼痛,3,"Aさん（60歳、男性）は、1年前に膵癌と診断されて自宅で療養中である。疼痛管理はレスキューとして追加注入ができるシリンジポンプを使用し、オピオイドを持続的に皮下注射している。,,
訪問看護師のAさんへの疼痛管理の指導で適切なのはどれか。",シリンジの交換はAさんが実施する。,疼痛がないときには持続的な注入をやめてもよい。,レスキューとしてのオピオイドの追加注入はAさんが行う。,レスキューとして用いるオピオイドの1回量に制限はない。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
2014_nrs_14_pm072,nursing,2014,72,1.看護におけるマネジメント,B.医療・看護における質の保証と評価、改善の仕組み,医療・看護の標準化（標準看護計画、クリニカルパス）,3,医療における安全管理のシステム設計の原則で正しいのはどれか。,個人の反省を促す。,人の記憶力を重視する。,作業のプロセスを標準化する。,いくつかの業務を同時に実施する。,,C,,false,,false,notebooklm,2026-04-05T01:24:41.671Z
